Model,Train_MAE,Train_RMSE,Train_MAPE,Train_R2,Test_MAE,Test_RMSE,Test_MAPE,Test_R2
XGBoost,0.08593346178531647,0.11416231549833997,0.12492733045267852,0.999971330165863,28.52261734008789,41.49796446438668,231.27083851942086,-1.1607038974761963
Random Forest,5.327647058823528,6.947331692603917,8.767000568759341,0.8938842302659608,24.4125,42.882183654753405,242.16060628803874,-1.3072542973651191
Linear Regression,10.689338601253503,12.66926969188552,15.760722918153173,0.6471037671327393,35.67513177392041,52.67897494257574,299.01845117986824,-2.4819001267258756
Prophet,15.559291350243695,20.404307713061627,25.068428954315493,0.0846491504697714,38.836499602593236,48.7974355124714,266.6914974863419,-1.987690981924473
SARIMA,26.922911198568908,32.50078239630963,41.12261284721665,-1.3223704239820004,26.61740012327489,33.18795168400388,178.4011531224698,-0.3819826059972091
