cluster,medoid_pid,medoid_idx
0,a5351c21ddda7f0770ebfbb08f2d45388fce5408da39074c80bb4a70b76c377a,290
1,66933db381485094782ac4a0f2e824ea857e13658b7e87350126bafddeeddbe7,181
2,e280e5bb2b2f87dc7c2f6961317f68e161a3b1d1694e297d61c3a93aa5ac73fa,387
3,08c1a6a119f455f0b9bb3ec4eccad6b7d0b67a67891464a727c1054fd7992bd8,16
