biweek_start,total_rx,known_status_rx,filled_rx,status_coverage,refill_adherence,unique_patients,pct_female,median_age,low_coverage_flag
2023-03-01,99,95,87,0.9595959595959596,0.9157894736842105,17,0.8484848484848485,58.0,0.0
2023-03-15,195,171,138,0.8769230769230769,0.8070175438596491,41,0.558974358974359,56.0,0.0
2023-04-01,205,194,177,0.9463414634146341,0.9123711340206185,28,0.8585365853658536,54.0,0.0
2023-04-15,294,256,235,0.8707482993197279,0.91796875,54,0.7244897959183674,59.0,0.0
2023-05-01,504,380,341,0.753968253968254,0.8973684210526316,98,0.6369047619047619,55.0,0.0
2023-05-15,488,343,323,0.7028688524590164,0.9416909620991254,100,0.7336065573770492,61.0,0.0
2023-06-01,400,269,233,0.6725,0.8661710037174721,96,0.8175,60.0,1.0
2023-06-15,397,272,215,0.6851385390428212,0.7904411764705882,97,0.6700251889168766,62.0,1.0
2023-07-01,496,368,337,0.7419354838709677,0.9157608695652174,104,0.7600806451612904,61.0,0.0
2023-07-15,268,187,166,0.6977611940298507,0.8877005347593583,69,0.7574626865671642,54.0,1.0
2023-08-01,622,448,415,0.7202572347266881,0.9263392857142857,115,0.8054662379421221,60.0,0.0
2023-08-15,329,222,177,0.6747720364741642,0.7972972972972973,84,0.8297872340425532,58.0,1.0
2023-09-01,607,448,375,0.7380560131795717,0.8370535714285714,96,0.7100494233937397,61.0,0.0
2023-09-15,866,595,533,0.687066974595843,0.8957983193277311,140,0.7644341801385681,61.0,1.0
2023-10-01,840,620,549,0.7380952380952381,0.885483870967742,127,0.6892857142857143,58.0,0.0
2023-10-15,730,450,406,0.6164383561643836,0.9022222222222223,134,0.6575342465753424,61.0,1.0
2023-11-01,361,134,115,0.37119113573407203,0.8582089552238806,101,0.7700831024930748,58.0,1.0
2023-11-15,664,436,385,0.6566265060240963,0.8830275229357798,166,0.7590361445783133,57.0,1.0
2023-12-01,434,248,212,0.5714285714285714,0.8548387096774194,118,0.6612903225806451,56.0,1.0
2023-12-15,172,103,86,0.5988372093023255,0.8349514563106796,41,0.7441860465116279,60.0,1.0
2024-01-01,208,133,119,0.6394230769230769,0.8947368421052632,55,0.8173076923076923,56.0,1.0
2024-01-15,922,671,595,0.7277657266811279,0.886736214605067,180,0.7245119305856833,61.0,0.0
2024-02-01,719,487,419,0.6773296244784422,0.8603696098562629,152,0.7051460361613352,59.0,1.0
2024-02-15,739,468,402,0.6332882273342354,0.8589743589743589,169,0.7388362652232747,62.0,1.0
2024-03-01,764,456,401,0.5968586387434555,0.8793859649122807,189,0.7853403141361257,63.0,1.0
2024-03-15,551,333,303,0.604355716878403,0.9099099099099099,145,0.7096188747731398,58.0,1.0
2024-04-01,532,329,290,0.618421052631579,0.8814589665653495,135,0.7744360902255639,59.5,1.0
2024-04-15,730,420,389,0.5753424657534246,0.9261904761904762,179,0.6547945205479452,60.0,1.0
2024-05-01,518,324,280,0.6254826254826255,0.8641975308641975,140,0.6312741312741312,57.0,1.0
2024-05-15,609,363,308,0.5960591133004927,0.8484848484848485,151,0.6059113300492611,60.0,1.0
2024-06-01,577,352,311,0.610051993067591,0.8835227272727273,138,0.7365684575389948,59.0,1.0
2024-06-15,548,337,287,0.614963503649635,0.8516320474777448,134,0.6259124087591241,64.0,1.0
2024-07-01,461,228,207,0.4945770065075922,0.9078947368421053,108,0.6898047722342733,61.0,1.0
2024-07-15,511,299,254,0.5851272015655578,0.8494983277591973,114,0.7045009784735812,61.0,1.0
2024-08-01,437,278,246,0.6361556064073226,0.8848920863309353,120,0.7482837528604119,62.0,1.0
2024-08-15,556,377,348,0.6780575539568345,0.9230769230769231,127,0.7230215827338129,58.0,1.0
2024-09-01,649,457,394,0.7041602465331279,0.862144420131291,134,0.7195685670261941,60.0,0.0
2024-09-15,643,407,347,0.6329704510108864,0.8525798525798526,167,0.7433903576982893,59.0,1.0
2024-10-01,551,354,303,0.6424682395644283,0.8559322033898306,136,0.7495462794918331,56.0,1.0
2024-10-15,585,345,294,0.5897435897435898,0.8521739130434782,165,0.6487889273356401,56.0,1.0
2024-11-01,579,370,320,0.6390328151986183,0.8648648648648649,121,0.7461139896373057,58.0,1.0
2024-11-15,663,391,337,0.5897435897435898,0.8618925831202046,174,0.6711915535444947,57.0,1.0
2024-12-01,632,330,296,0.5221518987341772,0.896969696969697,163,0.694620253164557,56.0,1.0
2024-12-15,401,242,222,0.6034912718204489,0.9173553719008265,90,0.7082294264339152,64.0,1.0
2025-01-01,149,13,10,0.087248322147651,0.7692307692307693,89,0.610738255033557,59.0,1.0
2025-01-15,222,0,0,0.0,,151,0.6891891891891891,58.0,1.0
