Model,MAE,RMSE,MAPE (%)
ARIMA,0.03861537071685328,0.05063629259808153,4.783740452959195
XGBoost,0.03211178366777934,0.051639586072616386,4.072545795634695
SARIMAX,0.05079988287577383,0.05809866121727957,6.1437857891649585
Prophet,0.055640617361847944,0.0636812669739739,6.757583813416422
Exponential Smoothing,0.05468983928565646,0.07373840720575262,6.826744878381687
